Date,Indian rupee (INR) per gram
27-05-1982,97.3219174
28-05-1982,98.77641718
31-05-1982,98.77641718
01-06-1982,96.26962347
02-06-1982,94.78265144
03-06-1982,96.33810456
04-06-1982,95.42373732
07-06-1982,96.86280474
08-06-1982,99.83417674
09-06-1982,96.27476758
10-06-1982,99.63355608
11-06-1982,98.30669477
14-06-1982,98.16876807
15-06-1982,95.82272809
16-06-1982,96.43198474
17-06-1982,95.95100957
18-06-1982,94.25248563
21-06-1982,91.00911831
22-06-1982,91.87333038
23-06-1982,91.91255429
24-06-1982,94.62061167
25-06-1982,93.26706524
28-06-1982,92.92465979
29-06-1982,95.20350471
30-06-1982,95.54912523
01-07-1982,95.44752888
02-07-1982,96.30177421
05-07-1982,97.54536509
06-07-1982,96.79946777
07-07-1982,94.66690875
08-07-1982,96.30241723
09-07-1982,98.98700457
12-07-1982,103.3730094
13-07-1982,104.582199
14-07-1982,108.9238358
15-07-1982,107.3066533
16-07-1982,106.477807
19-07-1982,107.5082384
20-07-1982,105.4409454
21-07-1982,109.8857861
22-07-1982,109.5031923
23-07-1982,110.2044
26-07-1982,108.6003993
27-07-1982,107.5153116
28-07-1982,106.305479
29-07-1982,104.2648711
30-07-1982,104.9840833
02-08-1982,107.6117638
03-08-1982,108.7267517
04-08-1982,107.4310766
05-08-1982,107.8747569
06-08-1982,107.0468752
09-08-1982,104.2938068
10-08-1982,103.7948272
11-08-1982,102.7492849
12-08-1982,102.9428324
13-08-1982,104.088042
16-08-1982,103.0650053
17-08-1982,103.8645943
18-08-1982,107.7583712
19-08-1982,109.1980817
20-08-1982,116.1648269
23-08-1982,116.0088958
24-08-1982,124.4413936
25-08-1982,119.7747128
26-08-1982,127.4998942
27-08-1982,131.0760217
30-08-1982,131.0760217
31-08-1982,126.4585315
01-09-1982,124.9136881
02-09-1982,125.1789318
03-09-1982,140.6489065
06-09-1982,141.7741826
07-09-1982,150.8532319
08-09-1982,145.2757204
09-09-1982,147.3690555
10-09-1982,139.3210807
13-09-1982,136.8998079
14-09-1982,140.0537962
15-09-1982,137.9459932
16-09-1982,138.5665026
17-09-1982,137.978144
20-09-1982,131.8331718
21-09-1982,131.8527837
22-09-1982,136.5795865
23-09-1982,135.6774365
24-09-1982,136.0937887
27-09-1982,128.786567
28-09-1982,127.8220446
29-09-1982,129.020303
30-09-1982,122.9701755
01-10-1982,123.9623475
04-10-1982,122.2098103
05-10-1982,120.9163858
06-10-1982,125.2396967
07-10-1982,129.407398
08-10-1982,136.236538
11-10-1982,133.6101435
12-10-1982,136.194099
13-10-1982,133.2879931
14-10-1982,139.3956704
15-10-1982,135.9381791
18-10-1982,132.3032157
19-10-1982,136.5551519
20-10-1982,134.1573493
21-10-1982,135.0177032
22-10-1982,132.658803
25-10-1982,131.6116531
26-10-1982,130.2982951
27-10-1982,132.0228612
28-10-1982,131.0303676
29-10-1982,132.0881272
01-11-1982,132.7433594
02-11-1982,134.6801204
03-11-1982,135.5967382
04-11-1982,133.7033807
05-11-1982,132.8655323
08-11-1982,128.4232636
09-11-1982,128.3882193
10-11-1982,128.8476535
11-11-1982,127.7223773
12-11-1982,125.749286
15-11-1982,127.5825216
16-11-1982,127.7188407
17-11-1982,130.895656
18-11-1982,128.8409018
19-11-1982,130.378029
22-11-1982,130.2021644
23-11-1982,127.4230539
24-11-1982,127.1211584
25-11-1982,130.1127853
26-11-1982,129.2495378
29-11-1982,133.7368175
30-11-1982,132.704457
01-12-1982,136.5840876
02-12-1982,135.0006633
03-12-1982,136.6181674
06-12-1982,137.7257606
07-12-1982,141.8539165
08-12-1982,140.8540283
09-12-1982,137.8128891
10-12-1982,137.2168143
13-12-1982,136.7368036
14-12-1982,140.1213127
15-12-1982,136.1555182
16-12-1982,137.2097411
17-12-1982,137.9627116
20-12-1982,136.9901515
21-12-1982,138.6391633
22-12-1982,140.0132862
23-12-1982,139.700781
24-12-1982,139.2030874
27-12-1982,139.2030874
28-12-1982,139.2030874
29-12-1982,138.4796956
30-12-1982,138.949418
31-12-1982,138.8918682
03-01-1983,138.8918682
04-01-1983,139.3461582
05-01-1983,141.2684514
06-01-1983,143.2637267
07-01-1983,141.1726422
10-01-1983,148.273456
11-01-1983,153.8326416
12-01-1983,151.9608252
13-01-1983,154.2332399
14-01-1983,151.8392953
17-01-1983,155.5327731
18-01-1983,153.7426195
19-01-1983,156.5924617
20-01-1983,153.9416327
21-01-1983,155.8118416
24-01-1983,150.9059592
25-01-1983,152.6736072
26-01-1983,153.3629192
27-01-1983,156.3577613
28-01-1983,156.430422
31-01-1983,160.867225
01-02-1983,161.3154064
02-02-1983,159.2256079
03-02-1983,161.1433999
04-02-1983,160.1287223
07-02-1983,155.2890704
08-02-1983,157.5470174
09-02-1983,155.8446353
10-02-1983,156.8088362
11-02-1983,159.5397207
14-02-1983,158.9796546
15-02-1983,162.1320353
16-02-1983,160.2277466
